,0,1,2,3,4,5
0,not impress,3.41029290243208,4.57444862105077,3.48100166158420,0.82459653669454,0.73414701293934
1,impress,4.13018498323935,5.77608248222042,5.15907356669685,4.61484510311565,4.65217297975353
2,food,9.90638299164824,9.93551510984509,9.79678523617367,9.50054147645505,9.44857975135526
3,all,8.83458271494913,8.77720215246745,8.71135840664036,8.61657807034011,8.44059959249671
4,ambience,1.64475815606911,3.20005310626927,3.48100166158420,3.57261686772634,3.41212189192057
5,great,7.12696108236506,7.95494060843273,8.50070357602676,9.15698407442590,9.24806338487402
6,not good,5.46238141358054,5.75804855939016,4.98689259131416,3.21818613315166,2.46103149240152
7,good,8.50894430072339,9.37738035607419,9.88665372286458,9.73378617583916,8.92510069009039
8,husband,6.09101438595868,6.05987544822101,5.62504803120091,5.28509279178178,5.55695591240005
9,order,9.72797152431809,9.63807482321781,9.27020923693155,8.85545299131514,8.34652451172819
10,tv,3.60823228004400,3.76709369899316,3.64450039386708,3.16233289841814,2.72406589823531
11,dinner,6.84246631402496,6.76257821787067,6.99701680858787,6.98988453446257,6.74889775121524
12,love,5.83852989946579,6.83748302688456,7.27385701394669,8.04304419782716,8.36832278098328
13,concept,2.49275506262406,3.83748302688456,3.94566992858765,3.30672280775332,2.89399089967763
14,say,9.04136293725097,8.37590294166869,8.07555021113456,7.48426099330550,7.18258643693018
15,fry,7.14937854847267,7.93902105334662,7.91663025563630,7.81225084098007,7.27694842796254
16,chicken,7.69351746798897,7.93099491280770,7.95738334915144,7.95332437426686,7.52712068285929
17,worst,7.26534456652098,5.47858860564325,3.85951328483794,1.66929288713803,0.55414089679300
18,ever,7.56123480050683,6.25894679532284,5.96642848875445,6.12385875060351,7.04398885723229
19,rather,5.11724592753186,5.82886989657985,5.36852693232579,4.44578684549087,3.19799708656773
20,crispy,3.32283006118175,4.67398429460168,5.3607074278665,5.54011422803902,5.09329970790103
21,hard,5.95945468172540,6.14560532224689,5.84277002100336,5.31954684811090,4.84876164568463
22,overcook,4.30010998468167,4.92089903507220,4.29657709044678,2.55826157474928,0.25458061493408
23,shell,3.07771756334522,3.69309311754938,3.26341022651158,2.86860169536143,2.57650870982146
24,taste,8.02326977932284,8.25573723884695,7.94305398038064,7.45646992725800,7.13722366429593
25,burn,5.30010998468167,4.78501560699042,3.98689259131416,3.19980760383681,2.72406589823531
26,seem,6.69786949252867,7.26853284415203,7.27593732438775,6.47282609824322,5.31569212923748
27,like,8.89553028766904,9.20338881883253,9.24600590783424,8.88235209078727,8.2679569770275
28,pre,3.32283006118175,4.05987544822100,3.56506592637268,3.18119192566946,2.48487823435589
29,cook,7.07437412027084,6.97654706462211,6.76492343389182,6.56186381142948,6.42141963650266
30,bread,5.89268566951270,6.52731464545967,6.48460389826440,6.56725035797654,6.12209697220847
31,much,7.12696108236506,7.9509771580254,7.78697218256859,7.27854003998260,6.57650870982146
32,pasta,4.64475815606911,5.30314659923337,5.58533832139894,5.20442423190718,4.54849433365185
33,stuff,4.74909481588385,5.20005310626927,5.58533832139894,5.69248251450992,5.4152278027884
34,cheese,6.74489482735456,7.15941112177192,7.45369431558847,7.34799082612505,6.77209859465711
35,short,4.68038206579983,5.23958147045591,4.95608654453299,4.57261686772635,4.32232522156993
36,rib,4.79856349214815,5.37590294166869,5.67003548597422,5.66929288713803,5.13156972482875
