,0
0,5.9798669062521
1,5.336352148301179
2,4.828674058736082
3,4.254936887951785
4,4.214560420799285
5,3.520264693758827
6,3.504686022054816
7,3.45719182505614
8,3.3664474171892445
9,3.3462701567640494
10,3.2937491975362683
11,3.1840452144758418
12,3.153228935307308
13,2.937117584981972
14,2.9222308292068435
15,2.91769253980439
16,2.9105902152105587
17,2.8879407541387976
18,2.8422904179983393
19,2.8073891720309576
20,2.748114943467109
21,2.684418959105158
22,2.6577432394748275
23,2.5763706082401745
24,2.5690465535822224
25,2.522695327971635
26,2.495551429051095
27,2.4477580718623746
28,2.436261980010351
29,2.429003795503106
30,2.392906155884032
31,2.3782817110995973
32,2.370112932014807
33,2.367491602277716
34,2.3035691852850557
35,2.292008699404007
36,2.2494834552741505
37,2.241002634727182
38,2.2341784552991997
39,2.150823073500844
40,2.123486500295862
41,2.0976292483392722
42,2.050440280462591
43,2.043129308242638
44,2.03381860845769
45,2.0333126953085836
46,2.0049144361942797
47,1.9971439358762506
48,1.9878293223801637
49,1.97983685299964
50,1.970085315450093
51,1.958359262044386
52,1.9552005318490409
53,1.953713743649415
54,1.9347241040013743
55,1.9290588005533251
56,1.9175571616765947
57,1.9036389707066654
58,1.8875237097793391
59,1.8572948068323771
60,1.8305804653955313
61,1.8220414781119743
62,1.816537219576908
63,1.7967849752884746
64,1.7598998058989301
65,1.7344823284230408
66,1.7200160853443047
67,1.7195523375352457
68,1.6942202669903659
69,1.692963018365615
70,1.6644566673005052
71,1.658021237982934
72,1.656480577185095
73,1.6500960587201021
74,1.6486058803594983
75,1.647161799970391
76,1.6461759667089129
77,1.6430442663472866
78,1.6399507596642913
79,1.6343114874225884
80,1.6259448512121342
81,1.6189879853644116
82,1.6107790411033291
83,1.6062508017889723
84,1.6061307641407285
85,1.5938030211841068
86,1.5800723036211588
87,1.570866797769101
88,1.5527542355993242
89,1.552257051183883
90,1.5444198507672264
91,1.522506485012127
92,1.5183863954381516
93,1.5132465119543401
94,1.5077565835125162
95,1.5025748137924864
96,1.499126654252737
97,1.490221925720769
98,1.4826361513952921
99,1.478090677376883
100,1.4738140300377098
101,1.4706620933562031
102,1.4680323661637456
103,1.4640734283396943
104,1.4525551977346167
105,1.4514099375262492
106,1.4442818129345842
107,1.4401150612808131
108,1.4398700867320353
109,1.4369579622377364
110,1.4277376997519977
111,1.4255553792359448
112,1.4229521082172532
113,1.4179225303108236
114,1.4117823214503118
115,1.4061882319015164
116,1.3967230120346312
117,1.3949463721421649
118,1.393486621701825
119,1.3778013813181103
120,1.376698686215705
121,1.373480305840251
122,1.3732434523765324
123,1.370211217568591
124,1.3698293681671223
125,1.3675434254287322
126,1.3674780283174541
127,1.3661538450572253
128,1.3629268804922223
129,1.3620888843722696
130,1.359884900016335
131,1.3590724028981802
132,1.3558303523685413
133,1.3553588797653031
134,1.3546359725350547
135,1.353230645285903
136,1.3527630546003484
137,1.3524303101785988
138,1.3487460546576753
139,1.348621755564246
140,1.3485878510249265
141,1.346425925356801
142,1.345344810582817
143,1.342103978755726
144,1.3398712200239073
145,1.3201225129915966
146,1.313000724973191
147,1.3104938120737128
148,1.310438761433068
149,1.31042255683494
150,1.3082330056720362
151,1.3029340689915974
152,1.3026676722973154
153,1.3007754780756222
154,1.295880108300652
155,1.2949038833354536
156,1.294839833263635
157,1.2853764325778674
158,1.283948230995946
159,1.282001448042721
160,1.2779530046877359
161,1.2764551492695504
162,1.2740630876884702
163,1.2680889581465444
164,1.2672802086052273
165,1.2623405386751383
166,1.2575666274499082
167,1.246585298284446
168,1.2418890963427478
