,0
734,583
735,2079
736,5261
737,1029
738,1348
739,1706
740,287
741,21
742,191
743,111
744,1516
745,84
746,11
747,554
748,44
749,2352
750,222
751,642
752,319
753,1228
754,972
755,1
756,253
757,488
758,1513
759,432
760,581
761,129
762,51
763,143
764,171
765,104
766,49
767,42
768,4
769,39
770,1076
771,797
772,1096
773,44
774,243
775,695
776,72
777,63
778,1205
779,317
780,2706
781,417
782,410
783,769
784,4
785,882
786,31
787,3
788,592
789,1
790,280
791,1025
792,1107
793,2410
794,6
795,174
796,2
797,52
798,710
799,2640
800,105
801,66
802,14
803,1366
804,1
805,226
806,169
807,147
808,177
809,16
810,68
811,1
812,1
813,456
814,4
815,1356
816,1514
817,1
818,285
819,2514
820,1483
821,98
822,645
823,233
824,589
825,16
826,127
827,74
828,936
829,4
830,13
831,231
832,1755
833,1095
834,7
835,871
836,259
837,448
838,283
839,537
840,523
841,227
842,50
843,32
844,707
845,667
846,400
847,174
848,43
849,316
850,54
851,75
852,3
853,24
854,124
855,437
856,27
857,35
858,1942
859,286
860,2
861,562
862,364
863,45
864,429
865,187
866,1469
867,643
868,29
869,36
870,114
871,2753
872,8
873,22
874,1014
875,291
876,1600
877,238
878,15
879,416
880,94
881,384
882,21
883,1936
884,7
885,407
886,1510
887,104
888,1092
889,85
890,159
891,10
892,81
893,3
894,131
895,86
896,335
897,307
898,187
899,64
900,827
901,37
902,12
903,163
904,2435
905,1421
906,219
907,87
908,269
909,178
910,346
911,15
912,317
913,532
914,492
915,63
916,651
917,503
918,503
919,732
920,703
921,918
922,400
923,1548
924,29
925,203
926,1250
927,650
928,141
929,267
930,97
931,258
932,166
933,222
934,1
935,128
936,1122
937,3302
938,2414
939,992
940,143
941,822
942,952
943,1354
944,10
945,21
946,16
947,1657
948,45
949,1
950,130
951,163
952,321
953,2180
954,137
955,82
956,601
957,52
958,62
959,23
960,9
961,77
962,23
963,88
964,258
965,153
966,325
967,284
968,77
969,35
970,858
971,267
972,309
973,207
974,50
975,10
976,359
977,441
978,397
979,4
980,104
981,10
982,434
983,101
984,100
985,218
986,87
987,1
988,34
989,299
990,339
991,187
992,228
993,110
994,110
995,1826
996,4
997,204
998,11
999,58
1000,33
1001,558
1002,3
1003,6
1004,1266
1005,432
1006,77
1007,29
1008,755
1009,132
1010,358
1011,42
1012,582
1013,191
1014,375
1015,750
1016,342
1017,6
1018,303
1019,12
1020,15
1021,14
1022,39
1023,4
1024,247
1025,120
1026,609
1027,530
1028,1151
1029,5
1030,206
1031,1533
1032,331
1033,72
1034,14
1035,40
1036,90
1037,1446
1038,689
1039,286
1040,851
1041,13
1042,666
1043,253
1044,940
1045,666
1046,413
1047,270
1048,211
1049,298
1050,415
1051,589
1052,166
1053,19
1054,2
1055,400
1056,861
1057,537
1058,1345
1059,3
1060,617
1061,94
1062,177
1063,24
1064,1359
1065,43
1066,1
1067,223
1068,344
1069,869
1070,17
1071,604
1072,777
1073,270
1074,512
1075,799
1076,18
1077,72
1078,168
1079,38
1080,412
1081,143
1082,115
1083,560
1084,367
1085,693
1086,482
1087,73
1088,117
1089,16
1090,82
1091,4
1092,1248
1093,11
1094,413
1095,19
1096,602
1097,113
1098,174
1099,33
1100,1011
1101,44
1102,1230
1103,71
1104,130
1105,33
1106,129
1107,12
1108,3264
1109,169
1110,796
1111,132
1112,202
1113,13
1114,16
1115,8
1116,851
1117,28
1118,11
1119,43
1120,346
1121,949
1122,14
1123,1
1124,144
1125,61
1126,284
1127,21
1128,200
1129,38
1130,1067
1131,86
1132,93
1133,454
1134,182
1135,22
1136,13
1137,1
1138,69
1139,944
1140,177
1141,372
1142,405
1143,287
1144,363
1145,82
1146,18
1147,45
1148,931
1149,155
1150,50
1151,161
1152,8
1153,511
1154,53
1155,21
1156,452
1157,685
1158,17
1159,228
1160,263
1161,1
1162,28
1163,77
1164,202
1165,1
1166,664
1167,97
1168,49
1169,27
1170,70
1171,211
1172,227
1173,223
1174,918
1175,477
1176,10
1177,87
1178,143
1179,100
1180,62
1181,616
1182,27
1183,134
1184,497
1185,934
1186,1006
1187,7
1188,157
1189,632
1190,13
1191,1069
1192,163
1193,777
1194,135
1195,1027
1196,6
1197,19
1198,287
1199,502
1200,58
1201,49
1202,117
1203,321
1204,1
1205,1
1206,23
1207,8
1208,60
1209,23
1210,901
1211,874
1212,193
1213,29
1214,50
1215,7
1216,29
1217,2
1218,125
1219,667
1220,442
1221,5
1222,228
1223,431
1224,90
1225,839
1226,593
1227,335
1228,208
1229,585
1230,142
1231,662
1232,363
1233,363
1234,118
1235,51
1236,38
1237,27
1238,389
1239,451
1240,2
1241,133
1242,24
1243,60
1244,41
1245,1
1246,58
1247,1408
1248,1054
1249,717
1250,95
1251,382
1252,6
1253,305
1254,262
1255,392
1256,264
1257,745
1258,4
1259,343
1260,455
1261,129
1262,44
1263,19
1264,21
1265,23
1266,1496
1267,427
1268,24
1269,63
1270,1482
1271,685
1272,277
1273,145
1274,176
1275,70
1276,1986
1277,8
1278,62
1279,193
1280,1264
1281,641
1282,102
1283,2
1284,124
1285,493
1286,68
1287,174
1288,103
1289,1
1290,26
1291,310
1292,482
1293,293
1294,305
1295,1
1296,402
1297,83
1298,82
1299,66
1300,226
1301,33
1302,409
1303,1
1304,577
1305,834
1306,332
1307,6
1308,499
1309,274
1310,5
1311,285
1312,54
1313,1016
1314,490
1315,168
1316,41
1317,144
1318,53
1319,140
1320,154
1321,99
1322,78
1323,38
1324,125
1325,850
1326,17
1327,90
1328,1396
1329,1
1330,1075
1331,268
1332,2
1333,1021
1334,692
1335,2
1336,113
1337,338
1338,1686
1339,1
1340,536
1341,100
1342,606
1343,118
1344,196
1345,18
1346,136
1347,140
1348,702
1349,614
1350,48
1351,310
1352,73
1353,42
1354,12
1355,219
1356,21
1357,739
1358,224
1359,325
1360,56
1361,1011
1362,54
1363,252
1364,80
1365,572
1366,233
1367,584
1368,236
1369,169
1370,2138
1371,1049
1372,273
1373,182
1374,55
1375,214
1376,800
1377,75
1378,80
1379,1
1380,1
1381,23
1382,2
1383,1
1384,1
1385,1
1386,6
1387,2
1388,21
1389,21
1390,313
1391,201
1392,1
1393,72
1394,1
1395,1
1396,1
1397,1
1398,1
1399,47
1400,1
1401,1
1402,1
1403,9
1404,1
1405,3
1406,30
1407,3
1408,1
1409,54
1410,1
1411,144
1412,312
1413,1
1414,9
1415,1
1416,1
1417,3
1418,38
1419,18
1420,2
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,57
1428,1
1429,5
1430,1
1431,1
1432,9
1433,177
1434,94
1435,1
1436,1
1437,1
1438,8
1439,2
1440,1
1441,68
1442,1
1443,1
1444,45
1445,1
1446,1
1447,23
1448,2
1449,1
1450,1
1451,29
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,2
1466,1
1467,1
1468,1
1469,1
1470,1
1471,63
1472,440
1473,126
1474,127
1475,120
1476,172
1477,1
1478,99
1479,1
1480,28
1481,6
1482,90
1483,58
1484,143
1485,82
1486,141
1487,82
1488,1
1489,1
1490,27
1491,31
1492,111
1493,99
1494,177
1495,3
1496,109
1497,163
1498,2
1499,247
1500,261
1501,3
1502,188
1503,108
1504,701
1505,221
1506,110
1507,638
1508,463
1509,1143
1510,5
1511,1254
1512,489
1513,663
1514,138
1515,332
1516,344
1517,15
1518,256
1519,391
1520,839
1521,904
1522,115
1523,83
1524,989
1525,234
1526,14
1527,4
1528,450
1529,167
1530,7
1531,38
1532,1
1533,116
1534,3
1535,672
1536,117
1537,241
1538,7
1539,59
1540,9
1541,207
1542,2
1543,87
1544,16
1545,24
1546,756
1547,1
1548,46
1549,25
1550,22
1551,98
1552,128
1553,301
1554,12
1555,512
1556,1
1557,26
1558,15
1559,3
1560,68
1561,417
1562,13
1563,192
1564,2
1565,1
1566,20
